vn,en
giây,second
phút,minute
giờ,hour
ngày,day
tuần,week
tháng,mouth
quý,"season, quarter"
năm,year
thập kỷ,decade
thập niên,decade
thế kỷ,century
thiên niên kỷ,millennium; period of one thousand years
